Fetching complete F1 historical results from Ergast API...
This will fetch all races from 1950 to present year-by-year.

📡 [1/75] Fetching 1950 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [2/75] Fetching 1951 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [3/75] Fetching 1952 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [4/75] Fetching 1953 results (offset=0)... 4 races ✓ Total: 4 races, 100 driver results
📡 [5/75] Fetching 1954 results (offset=0)... 4 races ✓ Total: 4 races, 100 driver results
📡 [6/75] Fetching 1955 results (offset=0)... 4 races ✓ Total: 4 races, 100 driver results
📡 [7/75] Fetching 1956 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [8/75] Fetching 1957 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [9/75] Fetching 1958 results (offset=0)... 6 races ✓ Total: 6 races, 100 driver results
📡 [10/75] Fetching 1959 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [11/75] Fetching 1960 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [12/75] Fetching 1961 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [13/75] Fetching 1962 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [14/75] Fetching 1963 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [15/75] Fetching 1964 results (offset=0)... 6 races ✓ Total: 6 races, 100 driver results
📡 [16/75] Fetching 1965 results (offset=0)... 6 races ✓ Total: 6 races, 100 driver results
📡 [17/75] Fetching 1966 results (offset=0)... 6 races ✓ Total: 6 races, 100 driver results
📡 [18/75] Fetching 1967 results (offset=0)... 6 races ✓ Total: 6 races, 100 driver results
📡 [19/75] Fetching 1968 results (offset=0)... 6 races ✓ Total: 6 races, 100 driver results
📡 [20/75] Fetching 1969 results (offset=0)... 7 races ✓ Total: 7 races, 100 driver results
